protocol,fold,method,key,value
lolo,59,fisher_wknn,cv_best_score,1.6687879179777867
lolo,1,mahalanobis_wknn,selected_cov_mode,within
lolo,1,mahalanobis_wknn,selected_k,3
lolo,1,mahalanobis_wknn,selected_weighting,inv_sq
lolo,1,mahalanobis_wknn,cv_scores,"{'within_k3_inv': 1.554077097763837, 'within_k3_inv_sq': 1.4799400239396978, 'within_k5_inv': 1.860586717531815, 'within_k5_inv_sq': 1.5958682684879248, 'total_k3_inv': 4.107607192003945, 'total_k3_inv_sq': 3.918696378377742, 'total_k5_inv': 7.6774732994992965, 'total_k5_inv_sq': 7.314450899289281}"
lolo,2,mahalanobis_wknn,selected_cov_mode,within
lolo,2,mahalanobis_wknn,selected_k,3
lolo,2,mahalanobis_wknn,selected_weighting,inv_sq
lolo,2,mahalanobis_wknn,cv_scores,"{'within_k3_inv': 1.6314934167849822, 'within_k3_inv_sq': 1.541204507932775, 'within_k5_inv': 2.0168125192838082, 'within_k5_inv_sq': 1.7156833691044213, 'total_k3_inv': 4.385435347275824, 'total_k3_inv_sq': 4.1604087639066645, 'total_k5_inv': 7.523530557886444, 'total_k5_inv_sq': 7.175469175232821}"
lolo,3,mahalanobis_wknn,selected_cov_mode,within
lolo,3,mahalanobis_wknn,selected_k,3
lolo,3,mahalanobis_wknn,selected_weighting,inv_sq
lolo,3,mahalanobis_wknn,cv_scores,"{'within_k3_inv': 1.5859694302365257, 'within_k3_inv_sq': 1.5060696419602377, 'within_k5_inv': 2.0994347764037737, 'within_k5_inv_sq': 1.7825245006379569, 'total_k3_inv': 4.067242559869771, 'total_k3_inv_sq': 3.901789788306582, 'total_k5_inv': 7.968420947141032, 'total_k5_inv_sq': 7.635014679760229}"
lolo,4,mahalanobis_wknn,selected_cov_mode,within
lolo,4,mahalanobis_wknn,selected_k,3
lolo,4,mahalanobis_wknn,selected_weighting,inv_sq
lolo,4,mahalanobis_wknn,cv_scores,"{'within_k3_inv': 1.5793779532313315, 'within_k3_inv_sq': 1.4779538885047647, 'within_k5_inv': 2.0387949439281368, 'within_k5_inv_sq': 1.7298730368587714, 'total_k3_inv': 4.108059106121792, 'total_k3_inv_sq': 3.9377130518237418, 'total_k5_inv': 7.926726648094666, 'total_k5_inv_sq': 7.586763090802423}"
lolo,5,mahalanobis_wknn,selected_cov_mode,within
lolo,5,mahalanobis_wknn,selected_k,3
lolo,5,mahalanobis_wknn,selected_weighting,inv_sq
lolo,5,mahalanobis_wknn,cv_scores,"{'within_k3_inv': 1.5620557264885346, 'within_k3_inv_sq': 1.4688788323262327, 'within_k5_inv': 2.0283454976007205, 'within_k5_inv_sq': 1.699883933347313, 'total_k3_inv': 4.155104429142192, 'total_k3_inv_sq': 3.951735579525689, 'total_k5_inv': 8.043379475488454, 'total_k5_inv_sq': 7.646112278774552}"
lolo,6,mahalanobis_wknn,selected_cov_mode,within
lolo,6,mahalanobis_wknn,selected_k,3
lolo,6,mahalanobis_wknn,selected_weighting,inv_sq
lolo,6,mahalanobis_wknn,cv_scores,"{'within_k3_inv': 1.561069938786264, 'within_k3_inv_sq': 1.4364703414405469, 'within_k5_inv': 2.0233791710648856, 'within_k5_inv_sq': 1.7027152432682082, 'total_k3_inv': 3.7729630610575513, 'total_k3_inv_sq': 3.601809020667827, 'total_k5_inv': 7.628345104817205, 'total_k5_inv_sq': 7.250718498569072}"
lolo,7,mahalanobis_wknn,selected_cov_mode,within
lolo,7,mahalanobis_wknn,selected_k,3
lolo,7,mahalanobis_wknn,selected_weighting,inv_sq
